datetime,open,high,low,close,volume,kline_status
2021-12-01,2.87,2.8775,2.8625,2.8775,36200.0,TREND_UP
2021-12-02,2.875,2.89,2.8675,2.89,32600.0,TREND_UP
2021-12-03,2.89,2.9075,2.885,2.8975,31400.0,TREND_UP
2021-12-06,2.85,2.865,2.84,2.862,64700.0,TREND_DOWN
2021-12-07,2.86,2.88,2.85,2.88,51200.0,TREND_UP
2021-12-08,2.88,2.8925,2.8775,2.8875,31000.0,TREND_UP
2021-12-09,2.885,2.895,2.88,2.88,31100.0,TREND_UP
2021-12-10,2.87,2.875,2.8675,2.87,28600.0,TREND_DOWN
2021-12-13,2.875,2.8925,2.875,2.885,37700.0,TREND_UP
2021-12-14,2.8825,2.885,2.87,2.871,38400.0,TREND_DOWN
2021-12-15,2.84,2.8525,2.84,2.85,37200.0,TREND_DOWN
2021-12-16,2.85,2.86,2.85,2.8575,10400.0,TREND_UP
2021-12-17,2.86,2.86,2.84,2.851,10500.0,OUTSIDE
2021-12-20,2.85,2.8625,2.85,2.85,16500.0,TREND_UP
2021-12-21,2.855,2.86,2.85,2.85,12700.0,INSIDE
2021-12-22,2.85,2.85,2.8275,2.828,25600.0,TREND_DOWN
2021-12-23,2.8275,2.8275,2.81,2.815,23700.0,TREND_DOWN
2021-12-24,2.815,2.8275,2.8125,2.8225,9800.0,INSIDE
2021-12-27,2.81,2.815,2.8025,2.8125,18200.0,TREND_DOWN
2021-12-28,2.81,2.815,2.795,2.7975,18000.0,OUTSIDE
2021-12-29,2.7975,2.7975,2.7825,2.7825,16500.0,TREND_DOWN
2021-12-30,2.79,2.8,2.755,2.77,10600.0,OUTSIDE
2021-12-31,2.78,2.785,2.765,2.7775,6600.0,INSIDE
2022-01-04,2.785,2.7975,2.7825,2.7875,23300.0,TREND_UP
2022-01-05,2.79,2.805,2.79,2.805,29300.0,TREND_UP
2022-01-06,2.81,2.8225,2.81,2.8175,38000.0,TREND_UP
2022-01-07,2.8225,2.825,2.8125,2.8175,24000.0,TREND_UP
2022-01-10,2.81,2.81,2.8,2.8025,29200.0,TREND_DOWN
2022-01-11,2.805,2.8125,2.793,2.795,38600.0,OUTSIDE
2022-01-12,2.7925,2.8,2.785,2.7925,61800.0,TREND_DOWN
2022-01-13,2.79,2.796,2.785,2.79,40900.0,INSIDE
2022-01-14,2.7875,2.7925,2.78,2.7925,42100.0,TREND_DOWN
2022-01-17,2.795,2.7975,2.7675,2.785,74000.0,OUTSIDE
2022-01-18,2.7825,2.7825,2.735,2.735,89400.0,TREND_DOWN
2022-01-19,2.73,2.7375,2.705,2.73,79000.0,TREND_DOWN
2022-01-20,2.73,2.7325,2.71,2.7225,38000.0,INSIDE
2022-01-21,2.715,2.7225,2.7,2.7025,55900.0,TREND_DOWN
2022-01-24,2.7,2.7,2.665,2.67,74600.0,TREND_DOWN
2022-01-25,2.6725,2.705,2.6725,2.6975,70700.0,TREND_UP
2022-01-26,2.6925,2.7225,2.69,2.7125,49300.0,TREND_UP
2022-01-27,2.72,2.735,2.72,2.7275,24500.0,TREND_UP
2022-01-28,2.7275,2.7275,2.6975,2.7,11600.0,TREND_DOWN
2022-02-07,2.71,2.735,2.71,2.7225,31300.0,TREND_UP
2022-02-08,2.72,2.7225,2.711,2.7225,29800.0,INSIDE
2022-02-09,2.725,2.7325,2.724,2.73,31600.0,TREND_UP
2022-02-10,2.7275,2.77,2.725,2.77,37600.0,TREND_UP
2022-02-11,2.8,2.8,2.7775,2.7875,49400.0,TREND_UP
2022-02-14,2.7775,2.802,2.775,2.795,39200.0,OUTSIDE
2022-02-15,2.79,2.795,2.786,2.795,31700.0,INSIDE
2022-02-16,2.8,2.8025,2.7825,2.785,53700.0,OUTSIDE
2022-02-17,2.78,2.785,2.7675,2.78,47600.0,TREND_DOWN
2022-02-18,2.775,2.804,2.775,2.8025,53400.0,TREND_UP
2022-02-21,2.805,2.85,2.8025,2.8475,52900.0,TREND_UP
2022-02-22,2.84,2.85,2.83,2.8425,39400.0,INSIDE
2022-02-23,2.83,2.835,2.8025,2.8025,47800.0,TREND_DOWN
2022-02-24,2.805,2.8075,2.78,2.8,55500.0,TREND_DOWN
2022-02-25,2.805,2.8075,2.7825,2.7825,36500.0,INSIDE
2022-02-28,2.7775,2.79,2.775,2.7875,28900.0,TREND_DOWN
2022-03-01,2.785,2.8175,2.78,2.8175,45900.0,TREND_UP
2022-03-02,2.815,2.835,2.815,2.8225,35600.0,TREND_UP
