datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-07-23,4068.3135,4068.3135,3975.6611,3975.6611,17702788981,TREND_DOWN,,
2024-07-24,3967.0907,3987.7236,3936.0934,3946.0506,18718247936,TREND_DOWN,,
2024-07-25,3927.9937,3942.5477,3909.815,3925.345,16536196398,TREND_DOWN,BOTTOM,Bx
2024-07-26,3930.9595,3955.9482,3924.7169,3948.5897,16099487180,TREND_UP,TOP,
2024-07-29,3945.8121,3945.8121,3924.4203,3924.4203,14704981006,TREND_DOWN,,
2024-07-30,3912.6339,3912.6339,3884.1391,3901.8144,14615524913,TREND_DOWN,BOTTOM,Bx
2024-07-31,3895.1303,3999.1477,3895.1303,3997.4729,23135874502,TREND_UP,,
2024-08-01,4000.9554,4000.9554,3967.9678,3970.3503,18270966949,TREND_UP,TOP,Tx
2024-08-02,3939.3643,3969.8103,3926.4671,3926.4671,16462071314,TREND_DOWN,,
2024-08-05,3898.6734,3951.5364,3869.2557,3869.2557,19532958626,TREND_DOWN,,
2024-08-06,3900.9146,3900.9146,3849.5743,3879.5731,17475444652,TREND_DOWN,BOTTOM,Bx
2024-08-07,3874.4981,3901.4854,3874.4981,3877.8217,14546546988,TREND_UP,TOP,
2024-08-08,3866.5703,3895.734,3852.9723,3876.5315,14673373910,TREND_DOWN,BOTTOM,
2024-08-09,3895.6738,3900.4887,3861.3742,3861.3742,15323417043,TREND_UP,TOP,
2024-08-15,3857.7923,3866.7792,3821.1821,3866.7792,12755068733,TREND_DOWN_(M),BOTTOM,Bx
2024-08-16,3868.5991,3881.7897,3862.2895,3867.0052,14076342836,TREND_UP,,
2024-08-19,3865.495,3900.0838,3865.495,3878.3454,14616864194,TREND_UP,TOP,
2024-08-20,3883.5975,3883.5975,3836.8305,3844.6932,14957686194,TREND_DOWN,,
2024-08-21,3833.4093,3851.5419,3826.0999,3834.7516,13715139240,TREND_DOWN,,
2024-08-23,3836.0281,3836.0893,3809.9865,3833.1891,14551515246,TREND_DOWN_(M),BOTTOM,Bx
2024-08-26,3838.4497,3838.4497,3820.2798,3832.6981,14193773124,TREND_UP,TOP,
2024-08-27,3822.6353,3822.6353,3800.974,3807.5371,14199506666,TREND_DOWN,,
2024-08-29,3800.782,3803.5663,3775.3248,3795.7837,13976729807,TREND_DOWN_(M),BOTTOM,Bx
2024-08-30,3792.0111,3886.3734,3792.0111,3851.8711,26385368215,TREND_UP,TOP,
2024-09-02,3836.5903,3836.5903,3780.4448,3780.4448,20554426372,TREND_DOWN,,
2024-09-03,3776.6678,3805.3427,3776.6678,3800.6625,17384716680,TREND_DOWN,,
2024-09-06,3775.8712,3789.6862,3747.8165,3747.9593,15797571400,TREND_DOWN_(M),,
2024-09-09,3729.2264,3741.3845,3691.1519,3706.3787,14692394758,TREND_DOWN,,
2024-09-11,3707.2509,3720.5151,3676.2481,3709.1969,14533165927,TREND_DOWN_(M),BOTTOM,Bx
2024-09-12,3713.5456,3731.7108,3690.9604,3691.6245,13369058116,TREND_UP,TOP,
2024-09-13,3693.9849,3708.4114,3671.0578,3671.0578,12733546359,TREND_DOWN,,
2024-09-18,3672.1609,3695.9751,3652.2516,3685.0201,12396797981,TREND_DOWN,BOTTOM,B
2024-09-20,3694.6996,3740.3789,3687.1469,3717.1664,18086070245,TREND_UP_(M),,
2024-09-23,3716.3853,3748.6337,3711.5942,3725.7811,14284392700,TREND_UP,,
2024-09-24,3761.0227,3885.228,3734.1735,3885.1727,28166127900,TREND_UP,,
2024-09-26,3941.6067,4103.8233,3929.4769,4103.8233,33304232200,TREND_UP_(M),,
2024-09-27,4184.8358,4311.0159,4169.2844,4298.5618,37942962400,TREND_UP,,
2024-09-30,4468.0881,4707.5888,4414.1559,4684.8913,67661206400,TREND_UP,,
2024-10-08,5207.2612,5207.2612,4773.3023,4981.2967,82474901100,TREND_UP,TOP,T
2024-10-09,4874.7783,4911.4811,4611.8697,4630.9391,64138449700,TREND_DOWN,,
2024-10-10,4653.026,4787.1638,4567.8066,4661.0297,51328544500,TREND_DOWN,,
2024-10-11,4626.3249,4627.8972,4467.0456,4516.4741,36485748300,TREND_DOWN,BOTTOM,Bx
2024-10-14,4544.0206,4628.7295,4488.8562,4609.5528,38326059300,TREND_UP,,
2024-10-15,4589.9913,4631.7331,4495.5654,4495.5654,33999948300,TREND_UP,TOP,
2024-10-18,4435.369,4581.324,4401.3094,4581.324,29813015500,TREND_DOWN_(M),BOTTOM,Bx
2024-10-22,4614.8213,4671.8387,4593.1372,4644.9181,41624359300,TREND_UP_(M),,
2024-10-23,4638.2021,4712.3689,4621.2544,4664.2537,39303113400,TREND_UP,TOP,Tx
